hotspot_cluster,city,state,hotspot_level,hotspot_score,priority,recommendation,recommendation_reason
1,Chandigarh,Punjab,Moderate Hotspot,39.93,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 5 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
1,Chandigarh,Punjab,Moderate Hotspot,39.93,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 3 fatal accidents out of 17 records.
2,Chandigarh,Punjab,Moderate Hotspot,36.26,High,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 36.26, classified as Moderate Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
2,Chandigarh,Punjab,Moderate Hotspot,36.26,High,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 5 High/Critical risk accidents and 2 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
2,Chandigarh,Punjab,Moderate Hotspot,36.26,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 3 fatal accidents out of 15 records.
22,Chandigarh,Punjab,Moderate Hotspot,35.65,High,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 35.65, classified as Moderate Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
22,Chandigarh,Punjab,Moderate Hotspot,35.65,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 6 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
22,Chandigarh,Punjab,Moderate Hotspot,35.65,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 2 fatal accidents out of 16 records.
26,Chandigarh,Punjab,Moderate Hotspot,30.5,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 30.50, classified as Moderate Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
26,Chandigarh,Punjab,Moderate Hotspot,30.5,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 4 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
26,Chandigarh,Punjab,Moderate Hotspot,30.5,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 2 fatal accidents out of 15 records.
32,Chandigarh,Punjab,Moderate Hotspot,30.24,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 30.24, classified as Moderate Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
32,Chandigarh,Punjab,Moderate Hotspot,30.24,High,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 4 High/Critical risk accidents and 2 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
32,Chandigarh,Punjab,Moderate Hotspot,30.24,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 4 fatal accidents out of 11 records.
37,Chandigarh,Punjab,Moderate Hotspot,29.28,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 29.28, classified as Moderate Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
37,Chandigarh,Punjab,Moderate Hotspot,29.28,High,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 4 High/Critical risk accidents and 1 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
37,Chandigarh,Punjab,Moderate Hotspot,29.28,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 4 fatal accidents out of 10 records.
21,Chandigarh,Punjab,Moderate Hotspot,28.94,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 28.94, classified as Moderate Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
21,Chandigarh,Punjab,Moderate Hotspot,28.94,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 5 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
21,Chandigarh,Punjab,Moderate Hotspot,28.94,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 1 fatal accidents out of 15 records.
15,Chandigarh,Punjab,Moderate Hotspot,28.81,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 28.81, classified as Moderate Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
15,Chandigarh,Punjab,Moderate Hotspot,28.81,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 2 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
15,Chandigarh,Punjab,Moderate Hotspot,28.81,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 1 fatal accidents out of 20 records.
12,Chandigarh,Punjab,Moderate Hotspot,27.16,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 27.16, classified as Moderate Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
12,Chandigarh,Punjab,Moderate Hotspot,27.16,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 6 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
12,Chandigarh,Punjab,Moderate Hotspot,27.16,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 1 fatal accidents out of 15 records.
31,Chandigarh,Punjab,Moderate Hotspot,25.25,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 25.25, classified as Moderate Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
31,Chandigarh,Punjab,Moderate Hotspot,25.25,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 4 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
31,Chandigarh,Punjab,Moderate Hotspot,25.25,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 3 fatal accidents out of 10 records.
27,Chandigarh,Punjab,Low Risk Hotspot,24.86,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 24.86, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
27,Chandigarh,Punjab,Low Risk Hotspot,24.86,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 3 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
27,Chandigarh,Punjab,Low Risk Hotspot,24.86,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 2 fatal accidents out of 13 records.
16,Chandigarh,Punjab,Low Risk Hotspot,23.1,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 23.10, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
16,Chandigarh,Punjab,Low Risk Hotspot,23.1,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 2 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
16,Chandigarh,Punjab,Low Risk Hotspot,23.1,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 2 fatal accidents out of 14 records.
23,Chandigarh,Punjab,Low Risk Hotspot,22.97,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 22.97, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
23,Chandigarh,Punjab,Low Risk Hotspot,22.97,High,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 2 High/Critical risk accidents and 1 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
23,Chandigarh,Punjab,Low Risk Hotspot,22.97,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 3 fatal accidents out of 12 records.
4,Chandigarh,Punjab,Low Risk Hotspot,22.29,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 22.29, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
4,Chandigarh,Punjab,Low Risk Hotspot,22.29,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 3 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
4,Chandigarh,Punjab,Low Risk Hotspot,22.29,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 1 fatal accidents out of 14 records.
18,Chandigarh,Punjab,Low Risk Hotspot,22.21,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 22.21, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
18,Chandigarh,Punjab,Low Risk Hotspot,22.21,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 4 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
18,Chandigarh,Punjab,Low Risk Hotspot,22.21,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 2 fatal accidents out of 10 records.
19,Pune,Maharashtra,Low Risk Hotspot,20.36,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 20.36, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
19,Pune,Maharashtra,Low Risk Hotspot,20.36,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 5 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
19,Pune,Maharashtra,Low Risk Hotspot,20.36,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 1 fatal accidents out of 11 records.
10,Chandigarh,Punjab,Low Risk Hotspot,19.04,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 19.04, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
10,Chandigarh,Punjab,Low Risk Hotspot,19.04,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 1 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
10,Chandigarh,Punjab,Low Risk Hotspot,19.04,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 3 fatal accidents out of 11 records.
34,Chandigarh,Punjab,Low Risk Hotspot,16.74,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 16.74, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
34,Chandigarh,Punjab,Low Risk Hotspot,16.74,High,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 3 High/Critical risk accidents and 1 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
34,Chandigarh,Punjab,Low Risk Hotspot,16.74,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 2 fatal accidents out of 10 records.
11,Chandigarh,Punjab,Low Risk Hotspot,15.53,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 15.53, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
11,Chandigarh,Punjab,Low Risk Hotspot,15.53,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 5 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
33,Chandigarh,Punjab,Low Risk Hotspot,12.54,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 12.54, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
33,Chandigarh,Punjab,Low Risk Hotspot,12.54,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 1 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
33,Chandigarh,Punjab,Low Risk Hotspot,12.54,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 2 fatal accidents out of 10 records.
30,Chandigarh,Punjab,Low Risk Hotspot,11.98,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 11.98, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
30,Chandigarh,Punjab,Low Risk Hotspot,11.98,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 2 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
30,Chandigarh,Punjab,Low Risk Hotspot,11.98,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 1 fatal accidents out of 10 records.
20,Chandigarh,Punjab,Low Risk Hotspot,11.57,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 11.57, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
20,Chandigarh,Punjab,Low Risk Hotspot,11.57,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 0 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
20,Chandigarh,Punjab,Low Risk Hotspot,11.57,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 2 fatal accidents out of 10 records.
28,Chandigarh,Punjab,Low Risk Hotspot,10.98,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 10.98, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
28,Chandigarh,Punjab,Low Risk Hotspot,10.98,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 2 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
28,Chandigarh,Punjab,Low Risk Hotspot,10.98,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 1 fatal accidents out of 10 records.
29,Chandigarh,Punjab,Low Risk Hotspot,9.01,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 9.01, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
29,Chandigarh,Punjab,Low Risk Hotspot,9.01,High,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 1 High/Critical risk accidents and 1 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
29,Chandigarh,Punjab,Low Risk Hotspot,9.01,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 1 fatal accidents out of 10 records.
24,Chandigarh,Punjab,Low Risk Hotspot,8.42,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 8.42, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
24,Chandigarh,Punjab,Low Risk Hotspot,8.42,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 3 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
25,Chandigarh,Punjab,Low Risk Hotspot,8.14,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 8.14, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
25,Chandigarh,Punjab,Low Risk Hotspot,8.14,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 1 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
17,Chandigarh,Punjab,Low Risk Hotspot,7.43,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 7.43, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
17,Chandigarh,Punjab,Low Risk Hotspot,7.43,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 1 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
13,Chandigarh,Punjab,Low Risk Hotspot,6.69,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 6.69, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
13,Chandigarh,Punjab,Low Risk Hotspot,6.69,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 2 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
35,Chandigarh,Punjab,Low Risk Hotspot,5.43,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 5.43, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
35,Chandigarh,Punjab,Low Risk Hotspot,5.43,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 1 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
36,Chandigarh,Punjab,Low Risk Hotspot,3.71,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 3.71, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
36,Chandigarh,Punjab,Low Risk Hotspot,3.71,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 0 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
14,Chandigarh,Punjab,Low Risk Hotspot,0.0,Low,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 0.00, classified as Low Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
14,Chandigarh,Punjab,Low Risk Hotspot,0.0,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 0 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
8,Chandigarh,Punjab,Critical Hotspot,92.71,High,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
9,Chandigarh,Punjab,High Risk Hotspot,66.43,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
3,Chandigarh,Punjab,High Risk Hotspot,64.44,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
5,Chandigarh,Punjab,High Risk Hotspot,60.44,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
0,Chandigarh,Punjab,High Risk Hotspot,57.33,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
6,Chandigarh,Punjab,High Risk Hotspot,54.06,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
7,Chandigarh,Punjab,High Risk Hotspot,53.62,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
1,Chandigarh,Punjab,Moderate Hotspot,39.93,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
2,Chandigarh,Punjab,Moderate Hotspot,36.26,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
22,Chandigarh,Punjab,Moderate Hotspot,35.65,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
26,Chandigarh,Punjab,Moderate Hotspot,30.5,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
32,Chandigarh,Punjab,Moderate Hotspot,30.24,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
37,Chandigarh,Punjab,Moderate Hotspot,29.28,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
21,Chandigarh,Punjab,Moderate Hotspot,28.94,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
15,Chandigarh,Punjab,Moderate Hotspot,28.81,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
12,Chandigarh,Punjab,Moderate Hotspot,27.16,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
31,Chandigarh,Punjab,Moderate Hotspot,25.25,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
27,Chandigarh,Punjab,Low Risk Hotspot,24.86,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
16,Chandigarh,Punjab,Low Risk Hotspot,23.1,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
23,Chandigarh,Punjab,Low Risk Hotspot,22.97,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
4,Chandigarh,Punjab,Low Risk Hotspot,22.29,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
18,Chandigarh,Punjab,Low Risk Hotspot,22.21,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
19,Pune,Maharashtra,Low Risk Hotspot,20.36,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
10,Chandigarh,Punjab,Low Risk Hotspot,19.04,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
34,Chandigarh,Punjab,Low Risk Hotspot,16.74,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
11,Chandigarh,Punjab,Low Risk Hotspot,15.53,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
33,Chandigarh,Punjab,Low Risk Hotspot,12.54,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
30,Chandigarh,Punjab,Low Risk Hotspot,11.98,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
20,Chandigarh,Punjab,Low Risk Hotspot,11.57,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
28,Chandigarh,Punjab,Low Risk Hotspot,10.98,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
29,Chandigarh,Punjab,Low Risk Hotspot,9.01,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
24,Chandigarh,Punjab,Low Risk Hotspot,8.42,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
25,Chandigarh,Punjab,Low Risk Hotspot,8.14,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
17,Chandigarh,Punjab,Low Risk Hotspot,7.43,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
13,Chandigarh,Punjab,Low Risk Hotspot,6.69,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
35,Chandigarh,Punjab,Low Risk Hotspot,5.43,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
